resource_id,resource_type,name,category_tags,district,address,latitude,longitude,coordinate_system,duration_minutes,weather_sensitive,avg_price_yuan,price_kind,max_party_size,children_allowed,child_age_min,child_age_max,booking_required,reservation_required,open_mon,open_tue,open_wed,open_thu,open_fri,open_sat,open_sun,source_name,source_uri,source_license,collected_at,last_verified_at,verification_status,image_url,image_source_uri,image_author,image_license,image_license_uri,image_attribution,notes
osm-node-4813654423,activity,The First Sound Gallery,画廊|室内,朝阳区,,39.9851039,116.4843115,WGS84,60,false,0,estimated,,,,,false,false,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/4813654423,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-1248471844,activity,北京警察博物馆,博物馆|室内,东城区,东交民巷36号,39.9006517,116.3986126,WGS84,90,false,0,estimated,,,,,false,false,,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/1248471844,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-161296938,activity,国家动物博物馆,博物馆|室内,朝阳区,,40.0011852,116.3751881,WGS84,120,false,40,estimated,,,,,false,false,,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/161296938,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-48915008,activity,中国电影博物馆,博物馆|室内,朝阳区,,39.9950135,116.5149167,WGS84,150,false,0,estimated,,,,,false,false,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-20:30,09:00-20:30,OpenStreetMap contributors,https://www.openstreetmap.org/way/48915008,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-161298694,activity,中国科学技术馆,科技馆|亲子|室内,朝阳区,,40.0045649,116.3921967,WGS84,180,false,30,estimated,,,,,false,false,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/161298694,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,https://commons.wikimedia.org/wiki/Special:Redirect/file/China%20Science%20and%20Technology%20Museum.jpg?width=960,https://commons.wikimedia.org/wiki/File:China_Science_and_Technology_Museum.jpg,IvanWalsh.com,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,IvanWalsh.com / CC BY 2.0,营业时间和价格未经项目方现场核验
osm-way-131710744,activity,中国美术馆,美术馆|室内,东城区,五四大街1号,39.9238436,116.4027592,WGS84,120,false,0,estimated,,,,,false,false,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/131710744,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-relation-963097,activity,中国人民革命军事博物馆,博物馆|室内,海淀区,复兴路9号,39.9082545,116.3178602,WGS84,150,false,0,estimated,,,,,false,false,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/relation/963097,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-5930548986,activity,尤伦斯当代艺术中心,艺术中心|室内,朝阳区,,39.9827566,116.4891860,WGS84,120,false,100,estimated,,,,,false,false,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/5930548986,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-3955072857,restaurant,百合素食,素食|中餐,东城区,草原胡同23号,39.9412725,116.4178998,WGS84,60,false,80,estimated,,,,,false,false,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,OpenStreetMap contributors,https://www.openstreetmap.org/node/3955072857,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-4258234691,restaurant,百年锅贴亚运村店,锅贴|中餐,朝阳区,慧忠路安慧里1区1-4号,39.9934305,116.4084176,WGS84,60,false,55,estimated,,,,,false,false,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/4258234691,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-10147234130,restaurant,百易兰州素拉面,面食|中餐,朝阳区,,39.9752399,116.4211200,WGS84,50,false,35,estimated,,,,,false,false,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,OpenStreetMap contributors,https://www.openstreetmap.org/node/10147234130,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-5499723821,restaurant,便宜坊,烤鸭|中餐,东城区,崇文门外大街16号,39.8972964,116.4132294,WGS84,75,false,120,estimated,,,,,false,false,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/5499723821,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-4912239120,restaurant,蚕坛饭庄,中餐|家常菜,西城区,,39.9299018,116.3858220,WGS84,60,false,70,estimated,,,,,false,false,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/4912239120,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-4375510710,restaurant,禅豆素食,素食|中餐,朝阳区,,39.9819000,116.4905200,WGS84,60,false,75,estimated,,,,,false,false,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/4375510710,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-4460013789,restaurant,大董烤鸭店,烤鸭|中餐,东城区,东四十条甲22号,39.9308798,116.4245413,WGS84,90,false,180,estimated,,,,,false,false,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/4460013789,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-600243400,restaurant,大董烤鸭团结湖分店,烤鸭|中餐,朝阳区,团结湖北口3号楼,39.9313007,116.4562015,WGS84,90,false,180,estimated,,,,,false,false,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/600243400,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-2185439896,restaurant,大鸭梨,烤鸭|中餐,朝阳区,,40.0001201,116.3708781,WGS84,75,false,95,estimated,,,,,false,false,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,09:30-21:30,OpenStreetMap contributors,https://www.openstreetmap.org/node/2185439896,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-265006297,restaurant,东区食堂,食堂|中餐,海淀区,,39.9470916,116.3399780,WGS84,50,false,35,estimated,,,,,false,false,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/265006297,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-11992333164,restaurant,富华斋,糕点|中餐,西城区,,39.9338483,116.3692795,WGS84,60,false,70,estimated,,,,,false,false,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/11992333164,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-6594267102,restaurant,功德林,素食|中餐,东城区,前门东大街2号,39.8991721,116.4052782,WGS84,75,false,85,estimated,,,,,false,false,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/6594267102,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-12814211147,restaurant,阿彩妹云南鲜烫牛肉米线,米线|中餐,海淀区,知春路29号,39.9756998,116.3368857,WGS84,50,false,40,estimated,,,,,false,false,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/12814211147,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-6297223786,restaurant,巴依老爷,新疆菜|中餐,海淀区,,39.9950778,116.3286550,WGS84,75,false,100,estimated,,,,,false,false,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/6297223786,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-9590592180,restaurant,北平楼牡丹园店,北京菜|中餐,海淀区,花园东路,39.9780534,116.3639801,WGS84,75,false,90,estimated,,,,,false,false,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,OpenStreetMap contributors,https://www.openstreetmap.org/node/9590592180,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,未采用 OSM 中许可证不明的第三方图片
osm-node-4258251090,restaurant,达美乐比萨慧忠路店,披萨|西餐,朝阳区,慧忠路安慧里2区4号楼,39.9933556,116.4042872,WGS84,50,false,60,estimated,,,,,false,false,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,OpenStreetMap contributors,https://www.openstreetmap.org/node/4258251090,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,OSM 标记为 24/7 且价格未经核验
osm-node-12786031007,restaurant,二肆六,中餐|家常菜,朝阳区,,40.0413301,116.4156077,WGS84,60,false,75,estimated,,,,,false,false,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/12786031007,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-13626421201,restaurant,932 Pizza Market,披萨|西餐,朝阳区,,40.0865553,116.5306936,WGS84,60,false,90,estimated,,,,,false,false,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/13626421201,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
